reading_id,tube_id,lactate_concentration,acetate_concentration
R000,T066,0.056829893401276865,0.24532183037300892
R001,T004,0.2932616847829479,0.4269951113737567
R002,T090,0.8324842854991025,0.11053892586174763
R003,T034,0.056615413459963015,0.8412724736881942
R004,T069,0.454220044628711,0.05302861319854746
R005,T091,0.44583433157149854,0.5272186500040955
R006,T019,0.6550470163467664,0.20144505437075566
R007,T100,0.887447930798864,0.4037870132126452
R008,T007,0.510148603046528,0.41899516966260586
R009,T088,0.6039472440235071,0.17412216703319205
R010,T070,0.13746228417849893,0.6438370172622969
R011,T040,0.014348035389478153,0.028724171200128934
R012,T101,0.5798813956504907,0.67095114373193
R013,T079,0.20669204116935513,0.5260799143337935
R014,T099,0.261336164967925,0.4317596331621213
R015,T113,0.44313264762837934,0.8936050544752528
R016,T056,0.7957342790436343,0.0019954382628067924
R017,T012,0.8249758146441032,0.9712383139128092
R018,T027,0.4052334501216077,0.7260896892738277
R019,T027,0.1295691646838022,0.10396168404475514
R020,T113,0.7639301310110693,0.7087064901041958
R021,T050,0.4385602639886408,0.05812964579457092
R022,T119,0.7933386867118692,0.931832535404245
R023,T093,0.029108992567678738,0.5582684729550442
R024,T117,0.8095871739453898,0.8196543411450348
R025,T042,0.33338964118698733,0.49517906022829394
R026,T118,0.2940972246224953,0.3158378427410906
R027,T006,0.13184103927784863,0.7576291470462039
R028,T076,0.6094801986267825,0.6673324784828358
R029,T062,0.3963296260044027,0.7680297558750091
R030,T014,0.4160773417284751,0.9549749522399019
R031,T083,0.8879790605604311,0.9962522186539424
R032,T104,0.15930691022689925,0.4992758872209916
R033,T104,0.11026233627447413,0.5874684577122653
R034,T042,0.6728991812084204,0.4866948845457443
R035,T055,0.4802051520897562,0.7300809837179553
R036,T052,0.8711985379689653,0.21846037519349426
R037,T080,0.8464475374347686,0.020100308273868217
R038,T108,0.5630992535069926,0.28560124424623756
R039,T080,0.35221961808888,0.9649842825587011
R040,T047,0.6259703872634215,0.6685756279334578
R041,T095,0.9594050463618095,0.5631048948054074
R042,T107,0.7797498496595471,0.3802045004052871
R043,T088,0.33387687793016496,0.28021216112874736
R044,T068,0.5571543422608738,0.2323667589011873
R045,T003,0.1517964633037423,0.4464765613469234
R046,T100,0.5141788030843245,0.8518977968963333
R047,T027,0.23113912596573805,0.9775254154611549
R048,T119,0.5330441660702362,0.1521742855145236
R049,T101,0.22890521015226617,0.4879785886649316
R050,T092,0.09357634455306907,0.27976478343184363
R051,T107,0.8712218218122164,0.06539698415593909
R052,T067,0.6500564178516185,0.5064576803043127
R053,T046,0.43469546851373553,0.6841365447720507
R054,T007,0.3261851173694785,0.5399534506699399
R055,T067,0.564261756717004,0.35629503260425466
R056,T029,0.10737581321188094,0.03947584483293343
R057,T061,0.8352557783086676,0.983943795257703
R058,T053,0.956028394991467,0.2625886801737798
R059,T105,0.5592369545762237,0.16922573950644892
R060,T106,0.8055022769308886,0.8790166582470671
R061,T110,0.942511989711362,0.2221571586551273
